"Years","Community District of Residence","LeadingCause","PrematureDeaths","PrematureDeathRate","Age-adjusted Death Rate per 100000 population"
"2014-2016","Battery Park, Tribeca (101)","Malignant Neoplasms (Cancer: C00-C97)",41,23.2,28.8
"2014-2016","Battery Park, Tribeca (101)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",17,9.6,12.0
"2014-2016","Battery Park, Tribeca (101)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",16,9.0,8.5
"2014-2016","Battery Park, Tribeca (101)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",11,".","."
"2014-2016","Battery Park, Tribeca (101)","Certain Conditions originating in the Perinatal Period (P00-P96)",7,".","."
"2014-2016","Battery Park, Tribeca (101)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",5,".","."
"2014-2016","Battery Park, Tribeca (101)","Chronic Liver Disease and Cirrhosis (K70, K73)",".",".","."
"2014-2016","Battery Park, Tribeca (101)","Influenza (Flu) and Pneumonia (J09-J18)",".",".","."
"2014-2016","Battery Park, Tribeca (101)","Cerebrovascular Disease (Stroke: I60-I69)",".",".","."
"2014-2016","Battery Park, Tribeca (101)","Peptic Ulcer (K25-K28)",".",".","."
"2014-2016","Battery Park, Tribeca (101)","Septicemia (A40-A41)",".",".","."
"2014-2016","Battery Park, Tribeca (101)","Assault (Homicide: Y87.1, X85-Y09)",".",".","."
"2014-2016","Battery Park, Tribeca (101)","Chronic Lower Respiratory Diseases (J40-J47)",".",".","."
"2014-2016","Battery Park, Tribeca (101)","Cholelithiasis and Disorders of Gallbladder (K80-K82)",".",".","."
"2014-2016","Battery Park, Tribeca (101)","Insitu or Benign / Uncertain Neoplasms (D00-D48)",".",".","."
"2014-2016","Battery Park, Tribeca (101)","Mental and Behavioral Disorders due to Use of Alcohol (F10)",".",".","."
"2014-2016","Battery Park, Tribeca (101)","All Other Causes",16,9.0,9.2
"2014-2016","Greenwich Village, SOHO (102)","Malignant Neoplasms (Cancer: C00-C97)",67,28.5,25.8
"2014-2016","Greenwich Village, SOHO (102)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",23,9.8,8.7
"2014-2016","Greenwich Village, SOHO (102)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",11,".","."
"2014-2016","Greenwich Village, SOHO (102)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",9,".","."
"2014-2016","Greenwich Village, SOHO (102)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",6,".","."
"2014-2016","Greenwich Village, SOHO (102)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",5,".","."
"2014-2016","Greenwich Village, SOHO (102)","Mental and Behavioral Disorders due to Use of Alcohol (F10)",5,".","."
"2014-2016","Greenwich Village, SOHO (102)","Chronic Liver Disease and Cirrhosis (K70, K73)",".",".","."
"2014-2016","Greenwich Village, SOHO (102)","Viral Hepatitis (B15-B19)",".",".","."
"2014-2016","Greenwich Village, SOHO (102)","Certain Conditions originating in the Perinatal Period (P00-P96)",".",".","."
"2014-2016","Greenwich Village, SOHO (102)","All Other Causes",19,8.1,8.1
"2014-2016","Lower East Side (103)","Malignant Neoplasms (Cancer: C00-C97)",245,56.6,49.6
"2014-2016","Lower East Side (103)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",155,35.8,31.5
"2014-2016","Lower East Side (103)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",88,20.3,17.7
"2014-2016","Lower East Side (103)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",29,6.7,6.4
"2014-2016","Lower East Side (103)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",28,6.5,5.7
"2014-2016","Lower East Side (103)","Diabetes Mellitus (E10-E14)",24,5.5,4.8
"2014-2016","Lower East Side (103)","Cerebrovascular Disease (Stroke: I60-I69)",23,5.3,4.7
"2014-2016","Lower East Side (103)","Chronic Lower Respiratory Diseases (J40-J47)",23,5.3,5.1
"2014-2016","Lower East Side (103)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",20,4.6,4.0
"2014-2016","Lower East Side (103)","Influenza (Flu) and Pneumonia (J09-J18)",14,3.2,2.8
"2014-2016","Lower East Side (103)","Viral Hepatitis (B15-B19)",14,3.2,2.8
"2014-2016","Lower East Side (103)","All Other Causes",141,32.6,30.5
"2014-2016","Chelsea, Clinton (104)","Malignant Neoplasms (Cancer: C00-C97)",112,36.5,32.1
"2014-2016","Chelsea, Clinton (104)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",78,25.4,22.1
"2014-2016","Chelsea, Clinton (104)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",48,15.6,14.1
"2014-2016","Chelsea, Clinton (104)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",30,9.8,8.2
"2014-2016","Chelsea, Clinton (104)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",16,5.2,4.4
"2014-2016","Chelsea, Clinton (104)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",14,4.6,4.5
"2014-2016","Chelsea, Clinton (104)","Diabetes Mellitus (E10-E14)",13,4.2,3.6
"2014-2016","Chelsea, Clinton (104)","Chronic Liver Disease and Cirrhosis (K70, K73)",10,".","."
"2014-2016","Chelsea, Clinton (104)","Chronic Lower Respiratory Diseases (J40-J47)",9,".","."
"2014-2016","Chelsea, Clinton (104)","Viral Hepatitis (B15-B19)",7,".","."
"2014-2016","Chelsea, Clinton (104)","All Other Causes",80,26.0,26.0
"2014-2016","Midtown Business District (105)","Malignant Neoplasms (Cancer: C00-C97)",45,32.5,31.2
"2014-2016","Midtown Business District (105)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",24,17.3,17.8
"2014-2016","Midtown Business District (105)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",16,11.6,10.9
"2014-2016","Midtown Business District (105)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",9,".","."
"2014-2016","Midtown Business District (105)","Chronic Liver Disease and Cirrhosis (K70, K73)",6,".","."
"2014-2016","Midtown Business District (105)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",5,".","."
"2014-2016","Midtown Business District (105)","Mental and Behavioral Disorders due to Use of Alcohol (F10)",5,".","."
"2014-2016","Midtown Business District (105)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",".",".","."
"2014-2016","Midtown Business District (105)","Diabetes Mellitus (E10-E14)",".",".","."
"2014-2016","Midtown Business District (105)","Chronic Lower Respiratory Diseases (J40-J47)",".",".","."
"2014-2016","Midtown Business District (105)","Cerebrovascular Disease (Stroke: I60-I69)",".",".","."
"2014-2016","Midtown Business District (105)","All Other Causes",25,18.1,19.8
"2014-2016","Murray Hill (106)","Malignant Neoplasms (Cancer: C00-C97)",118,32.8,29.5
"2014-2016","Murray Hill (106)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",57,15.8,14.5
"2014-2016","Murray Hill (106)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",33,9.2,7.8
"2014-2016","Murray Hill (106)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",17,4.7,4.4
"2014-2016","Murray Hill (106)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",14,3.9,4.1
"2014-2016","Murray Hill (106)","Mental and Behavioral Disorders due to Use of Alcohol (F10)",12,3.3,2.9
"2014-2016","Murray Hill (106)","Diabetes Mellitus (E10-E14)",7,".","."
"2014-2016","Murray Hill (106)","Chronic Liver Disease and Cirrhosis (K70, K73)",7,".","."
"2014-2016","Murray Hill (106)","Chronic Lower Respiratory Diseases (J40-J47)",7,".","."
"2014-2016","Murray Hill (106)","Influenza (Flu) and Pneumonia (J09-J18)",6,".","."
"2014-2016","Murray Hill (106)","All Other Causes",74,20.6,20.3
"2014-2016","Upper West Side (107)","Malignant Neoplasms (Cancer: C00-C97)",220,41.6,32.7
"2014-2016","Upper West Side (107)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",112,21.2,16.7
"2014-2016","Upper West Side (107)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",43,8.1,6.9
"2014-2016","Upper West Side (107)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",39,7.4,6.9
"2014-2016","Upper West Side (107)","Diabetes Mellitus (E10-E14)",25,4.7,3.7
"2014-2016","Upper West Side (107)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",23,4.3,3.9
"2014-2016","Upper West Side (107)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",16,3.0,2.4
"2014-2016","Upper West Side (107)","Chronic Liver Disease and Cirrhosis (K70, K73)",16,3.0,2.4
"2014-2016","Upper West Side (107)","Chronic Lower Respiratory Diseases (J40-J47)",14,2.6,2.4
"2014-2016","Upper West Side (107)","Cerebrovascular Disease (Stroke: I60-I69)",11,".","."
"2014-2016","Upper West Side (107)","Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",11,".","."
"2014-2016","Upper West Side (107)","All Other Causes",133,25.1,21.9
"2014-2016","Upper East Side (108)","Malignant Neoplasms (Cancer: C00-C97)",198,36.0,31.2
"2014-2016","Upper East Side (108)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",79,14.4,12.2
"2014-2016","Upper East Side (108)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",43,7.8,6.9
"2014-2016","Upper East Side (108)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",37,6.7,6.8
"2014-2016","Upper East Side (108)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",15,2.7,2.2
"2014-2016","Upper East Side (108)","Mental and Behavioral Disorders due to Use of Alcohol (F10)",14,2.5,2.1
"2014-2016","Upper East Side (108)","Cerebrovascular Disease (Stroke: I60-I69)",13,2.4,2.1
"2014-2016","Upper East Side (108)","Chronic Liver Disease and Cirrhosis (K70, K73)",8,".","."
"2014-2016","Upper East Side (108)","Diabetes Mellitus (E10-E14)",7,".","."
"2014-2016","Upper East Side (108)","Viral Hepatitis (B15-B19)",7,".","."
"2014-2016","Upper East Side (108)","Certain Conditions originating in the Perinatal Period (P00-P96)",7,".","."
"2014-2016","Upper East Side (108)","All Other Causes",103,18.7,16.7
"2014-2016","Manhattanville (109)","Malignant Neoplasms (Cancer: C00-C97)",128,43.1,45.0
"2014-2016","Manhattanville (109)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",84,28.3,29.7
"2014-2016","Manhattanville (109)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",44,14.8,14.6
"2014-2016","Manhattanville (109)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",18,6.1,6.3
"2014-2016","Manhattanville (109)","Diabetes Mellitus (E10-E14)",16,5.4,5.7
"2014-2016","Manhattanville (109)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",16,5.4,5.3
"2014-2016","Manhattanville (109)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",13,4.4,4.5
"2014-2016","Manhattanville (109)","Chronic Liver Disease and Cirrhosis (K70, K73)",13,4.4,4.6
"2014-2016","Manhattanville (109)","Assault (Homicide: Y87.1, X85-Y09)",13,4.4,4.4
"2014-2016","Manhattanville (109)","Certain Conditions originating in the Perinatal Period (P00-P96)",12,4.0,4.4
"2014-2016","Manhattanville (109)","All Other Causes",107,36.0,37.5
"2014-2016","Central Harlem (110)","Malignant Neoplasms (Cancer: C00-C97)",234,74.3,69.9
"2014-2016","Central Harlem (110)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",185,58.7,55.4
"2014-2016","Central Harlem (110)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",66,21.0,19.4
"2014-2016","Central Harlem (110)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",39,12.4,11.5
"2014-2016","Central Harlem (110)","Diabetes Mellitus (E10-E14)",37,11.7,10.9
"2014-2016","Central Harlem (110)","Essential Hypertension and Renal Diseases (I10, I12)",24,7.6,7.2
"2014-2016","Central Harlem (110)","Chronic Lower Respiratory Diseases (J40-J47)",22,7.0,6.7
"2014-2016","Central Harlem (110)","Cerebrovascular Disease (Stroke: I60-I69)",17,5.4,5.1
"2014-2016","Central Harlem (110)","Chronic Liver Disease and Cirrhosis (K70, K73)",16,5.1,4.8
"2014-2016","Central Harlem (110)","Assault (Homicide: Y87.1, X85-Y09)",16,5.1,5.5
"2014-2016","Central Harlem (110)","All Other Causes",202,64.1,63.4
"2014-2016","East Harlem (111)","Malignant Neoplasms (Cancer: C00-C97)",215,66.0,64.1
"2014-2016","East Harlem (111)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",179,54.9,53.1
"2014-2016","East Harlem (111)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",82,25.2,24.2
"2014-2016","East Harlem (111)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",49,15.0,14.6
"2014-2016","East Harlem (111)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",35,10.7,10.6
"2014-2016","East Harlem (111)","Chronic Lower Respiratory Diseases (J40-J47)",34,10.4,10.1
"2014-2016","East Harlem (111)","Diabetes Mellitus (E10-E14)",34,10.4,10.1
"2014-2016","East Harlem (111)","Chronic Liver Disease and Cirrhosis (K70, K73)",32,9.8,9.5
"2014-2016","East Harlem (111)","Assault (Homicide: Y87.1, X85-Y09)",25,7.7,7.7
"2014-2016","East Harlem (111)","Cerebrovascular Disease (Stroke: I60-I69)",24,7.4,7.2
"2014-2016","East Harlem (111)","All Other Causes",258,79.2,78.2
"2014-2016","Washington Heights (112)","Malignant Neoplasms (Cancer: C00-C97)",196,38.2,34.3
"2014-2016","Washington Heights (112)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",150,29.2,26.2
"2014-2016","Washington Heights (112)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",77,15.0,13.6
"2014-2016","Washington Heights (112)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",29,5.7,5.4
"2014-2016","Washington Heights (112)","Diabetes Mellitus (E10-E14)",26,5.1,4.5
"2014-2016","Washington Heights (112)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",23,4.5,4.2
"2014-2016","Washington Heights (112)","Cerebrovascular Disease (Stroke: I60-I69)",21,4.1,3.6
"2014-2016","Washington Heights (112)","Chronic Lower Respiratory Diseases (J40-J47)",18,3.5,3.2
"2014-2016","Washington Heights (112)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",16,3.1,2.8
"2014-2016","Washington Heights (112)","Certain Conditions originating in the Perinatal Period (P00-P96)",15,2.9,3.5
"2014-2016","Washington Heights (112)","All Other Causes",191,37.2,34.5
"2014-2016","Mott Haven (201)","Malignant Neoplasms (Cancer: C00-C97)",156,59.6,64.6
"2014-2016","Mott Haven (201)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",150,57.3,62.4
"2014-2016","Mott Haven (201)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",76,29.1,31.5
"2014-2016","Mott Haven (201)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",46,17.6,19.1
"2014-2016","Mott Haven (201)","Assault (Homicide: Y87.1, X85-Y09)",32,12.2,12.7
"2014-2016","Mott Haven (201)","Chronic Liver Disease and Cirrhosis (K70, K73)",28,10.7,11.7
"2014-2016","Mott Haven (201)","Influenza (Flu) and Pneumonia (J09-J18)",26,9.9,10.7
"2014-2016","Mott Haven (201)","Chronic Lower Respiratory Diseases (J40-J47)",25,9.6,10.3
"2014-2016","Mott Haven (201)","Diabetes Mellitus (E10-E14)",24,9.2,10.0
"2014-2016","Mott Haven (201)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",21,8.0,8.4
"2014-2016","Mott Haven (201)","All Other Causes",211,80.7,84.9
"2014-2016","Hunts Point (202)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",65,43.2,46.9
"2014-2016","Hunts Point (202)","Malignant Neoplasms (Cancer: C00-C97)",62,41.2,44.6
"2014-2016","Hunts Point (202)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",44,29.2,31.6
"2014-2016","Hunts Point (202)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",25,16.6,18.0
"2014-2016","Hunts Point (202)","Diabetes Mellitus (E10-E14)",21,13.9,15.0
"2014-2016","Hunts Point (202)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",20,13.3,13.7
"2014-2016","Hunts Point (202)","Chronic Liver Disease and Cirrhosis (K70, K73)",15,10.0,10.8
"2014-2016","Hunts Point (202)","Assault (Homicide: Y87.1, X85-Y09)",12,8.0,7.9
"2014-2016","Hunts Point (202)","Cerebrovascular Disease (Stroke: I60-I69)",11,".","."
"2014-2016","Hunts Point (202)","Mental and Behavioral Disorders due to Use of Alcohol (F10)",8,".","."
"2014-2016","Hunts Point (202)","Chronic Lower Respiratory Diseases (J40-J47)",8,".","."
"2014-2016","Hunts Point (202)","All Other Causes",72,47.8,50.7
"2014-2016","Morrisania (203)","Malignant Neoplasms (Cancer: C00-C97)",159,65.8,69.0
"2014-2016","Morrisania (203)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",132,54.6,57.4
"2014-2016","Morrisania (203)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",64,26.5,28.3
"2014-2016","Morrisania (203)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",48,19.9,21.0
"2014-2016","Morrisania (203)","Diabetes Mellitus (E10-E14)",30,12.4,13.1
"2014-2016","Morrisania (203)","Assault (Homicide: Y87.1, X85-Y09)",27,11.2,11.6
"2014-2016","Morrisania (203)","Influenza (Flu) and Pneumonia (J09-J18)",26,10.8,11.3
"2014-2016","Morrisania (203)","Chronic Lower Respiratory Diseases (J40-J47)",20,8.3,8.6
"2014-2016","Morrisania (203)","Cerebrovascular Disease (Stroke: I60-I69)",20,8.3,8.7
"2014-2016","Morrisania (203)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",19,7.9,8.2
"2014-2016","Morrisania (203)","All Other Causes",174,72.0,73.7
"2014-2016","Concourse, Highbridge (204)","Malignant Neoplasms (Cancer: C00-C97)",242,57.9,57.9
"2014-2016","Concourse, Highbridge (204)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",194,46.4,46.4
"2014-2016","Concourse, Highbridge (204)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",78,18.6,19.0
"2014-2016","Concourse, Highbridge (204)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",54,12.9,13.0
"2014-2016","Concourse, Highbridge (204)","Assault (Homicide: Y87.1, X85-Y09)",46,11.0,11.1
"2014-2016","Concourse, Highbridge (204)","Influenza (Flu) and Pneumonia (J09-J18)",39,9.3,9.3
"2014-2016","Concourse, Highbridge (204)","Diabetes Mellitus (E10-E14)",38,9.1,9.1
"2014-2016","Concourse, Highbridge (204)","Chronic Lower Respiratory Diseases (J40-J47)",31,7.4,7.3
"2014-2016","Concourse, Highbridge (204)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",27,6.5,6.5
"2014-2016","Concourse, Highbridge (204)","Cerebrovascular Disease (Stroke: I60-I69)",27,6.5,6.4
"2014-2016","Concourse, Highbridge (204)","All Other Causes",244,58.3,58.4
"2014-2016","University/Morris Heights (205)","Malignant Neoplasms (Cancer: C00-C97)",171,45.7,46.3
"2014-2016","University/Morris Heights (205)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",164,43.9,44.3
"2014-2016","University/Morris Heights (205)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",96,25.7,26.4
"2014-2016","University/Morris Heights (205)","Assault (Homicide: Y87.1, X85-Y09)",40,10.7,10.9
"2014-2016","University/Morris Heights (205)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",38,10.2,10.3
"2014-2016","University/Morris Heights (205)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",31,8.3,8.5
"2014-2016","University/Morris Heights (205)","Diabetes Mellitus (E10-E14)",29,7.8,7.9
"2014-2016","University/Morris Heights (205)","Chronic Lower Respiratory Diseases (J40-J47)",26,7.0,7.0
"2014-2016","University/Morris Heights (205)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",20,5.3,5.4
"2014-2016","University/Morris Heights (205)","Chronic Liver Disease and Cirrhosis (K70, K73)",19,5.1,5.1
"2014-2016","University/Morris Heights (205)","All Other Causes",228,61.0,61.2
"2014-2016","East Tremont (206)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",148,62.4,71.1
"2014-2016","East Tremont (206)","Malignant Neoplasms (Cancer: C00-C97)",127,53.5,61.2
"2014-2016","East Tremont (206)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",53,22.3,25.2
"2014-2016","East Tremont (206)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",31,13.1,14.9
"2014-2016","East Tremont (206)","Diabetes Mellitus (E10-E14)",27,11.4,12.9
"2014-2016","East Tremont (206)","Chronic Lower Respiratory Diseases (J40-J47)",25,10.5,11.9
"2014-2016","East Tremont (206)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",22,9.3,10.1
"2014-2016","East Tremont (206)","Assault (Homicide: Y87.1, X85-Y09)",21,8.8,8.7
"2014-2016","East Tremont (206)","Cerebrovascular Disease (Stroke: I60-I69)",18,7.6,8.5
"2014-2016","East Tremont (206)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",17,7.2,7.4
"2014-2016","East Tremont (206)","All Other Causes",188,79.2,87.1
"2014-2016","Fordham (207)","Malignant Neoplasms (Cancer: C00-C97)",198,49.3,49.4
"2014-2016","Fordham (207)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",185,46.0,46.2
"2014-2016","Fordham (207)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",86,21.4,21.5
"2014-2016","Fordham (207)","Diabetes Mellitus (E10-E14)",34,8.5,8.5
"2014-2016","Fordham (207)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",30,7.5,7.5
"2014-2016","Fordham (207)","Chronic Lower Respiratory Diseases (J40-J47)",27,6.7,6.7
"2014-2016","Fordham (207)","Influenza (Flu) and Pneumonia (J09-J18)",25,6.2,6.2
"2014-2016","Fordham (207)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",23,5.7,5.7
"2014-2016","Fordham (207)","Chronic Liver Disease and Cirrhosis (K70, K73)",22,5.5,5.5
"2014-2016","Fordham (207)","Cerebrovascular Disease (Stroke: I60-I69)",21,5.2,5.3
"2014-2016","Fordham (207)","All Other Causes",205,51.0,51.0
"2014-2016","Riverdale (208)","Malignant Neoplasms (Cancer: C00-C97)",174,67.8,58.5
"2014-2016","Riverdale (208)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",103,40.1,34.1
"2014-2016","Riverdale (208)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",29,11.3,10.3
"2014-2016","Riverdale (208)","Diabetes Mellitus (E10-E14)",28,10.9,9.4
"2014-2016","Riverdale (208)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",17,6.6,6.5
"2014-2016","Riverdale (208)","Cerebrovascular Disease (Stroke: I60-I69)",16,6.2,5.4
"2014-2016","Riverdale (208)","Chronic Liver Disease and Cirrhosis (K70, K73)",16,6.2,5.4
"2014-2016","Riverdale (208)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",13,5.1,4.6
"2014-2016","Riverdale (208)","Viral Hepatitis (B15-B19)",13,5.1,4.3
