"Years","Community District of Residence","LeadingCause","PrematureDeaths","PrematureDeathRate","Age-adjusted Death Rate per 100000 population"
"2014-2016","East Flatbush (317)","Diabetes Mellitus (E10-E14)",49,12.3,10.2
"2014-2016","East Flatbush (317)","Assault (Homicide: Y87.1, X85-Y09)",43,10.8,11.2
"2014-2016","East Flatbush (317)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",41,10.3,8.6
"2014-2016","East Flatbush (317)","Cerebrovascular Disease (Stroke: I60-I69)",33,8.3,7.0
"2014-2016","East Flatbush (317)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",31,7.8,7.2
"2014-2016","East Flatbush (317)","Certain Conditions originating in the Perinatal Period (P00-P96)",24,6.0,6.9
"2014-2016","East Flatbush (317)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",24,6.0,5.5
"2014-2016","East Flatbush (317)","Essential Hypertension and Renal Diseases (I10, I12)",22,5.5,4.6
"2014-2016","East Flatbush (317)","All Other Causes",241,60.5,54.5
"2014-2016","Canarsie (318)","Malignant Neoplasms (Cancer: C00-C97)",312,60.8,50.5
"2014-2016","Canarsie (318)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",235,45.8,37.8
"2014-2016","Canarsie (318)","Diabetes Mellitus (E10-E14)",41,8.0,6.7
"2014-2016","Canarsie (318)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",40,7.8,7.5
"2014-2016","Canarsie (318)","Assault (Homicide: Y87.1, X85-Y09)",35,6.8,7.5
"2014-2016","Canarsie (318)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",33,6.4,5.9
"2014-2016","Canarsie (318)","Cerebrovascular Disease (Stroke: I60-I69)",29,5.7,4.9
"2014-2016","Canarsie (318)","Influenza (Flu) and Pneumonia (J09-J18)",21,4.1,3.5
"2014-2016","Canarsie (318)","Certain Conditions originating in the Perinatal Period (P00-P96)",19,3.7,4.0
"2014-2016","Canarsie (318)","Chronic Lower Respiratory Diseases (J40-J47)",15,2.9,2.5
"2014-2016","Canarsie (318)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",15,2.9,2.6
"2014-2016","Canarsie (318)","Essential Hypertension and Renal Diseases (I10, I12)",15,2.9,2.4
"2014-2016","Canarsie (318)","All Other Causes",200,39.0,35.7
"2014-2016","Astoria, Long Island City (401)","Malignant Neoplasms (Cancer: C00-C97)",199,37.3,36.9
"2014-2016","Astoria, Long Island City (401)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",149,27.9,27.5
"2014-2016","Astoria, Long Island City (401)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",51,9.6,8.8
"2014-2016","Astoria, Long Island City (401)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",31,5.8,5.2
"2014-2016","Astoria, Long Island City (401)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",28,5.2,5.4
"2014-2016","Astoria, Long Island City (401)","Chronic Liver Disease and Cirrhosis (K70, K73)",22,4.1,4.1
"2014-2016","Astoria, Long Island City (401)","Influenza (Flu) and Pneumonia (J09-J18)",18,3.4,3.3
"2014-2016","Astoria, Long Island City (401)","Diabetes Mellitus (E10-E14)",18,3.4,3.3
"2014-2016","Astoria, Long Island City (401)","Chronic Lower Respiratory Diseases (J40-J47)",16,3.0,3.0
"2014-2016","Astoria, Long Island City (401)","Cerebrovascular Disease (Stroke: I60-I69)",16,3.0,2.8
"2014-2016","Astoria, Long Island City (401)","Certain Conditions originating in the Perinatal Period (P00-P96)",16,3.0,4.2
"2014-2016","Astoria, Long Island City (401)","All Other Causes",151,28.3,28.8
"2014-2016","Sunnyside, Woodside (402)","Malignant Neoplasms (Cancer: C00-C97)",136,39.0,35.8
"2014-2016","Sunnyside, Woodside (402)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",79,22.6,20.9
"2014-2016","Sunnyside, Woodside (402)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",24,6.9,6.3
"2014-2016","Sunnyside, Woodside (402)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",13,3.7,3.1
"2014-2016","Sunnyside, Woodside (402)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",12,3.4,3.3
"2014-2016","Sunnyside, Woodside (402)","Cerebrovascular Disease (Stroke: I60-I69)",11,".","."
"2014-2016","Sunnyside, Woodside (402)","Chronic Liver Disease and Cirrhosis (K70, K73)",10,".","."
"2014-2016","Sunnyside, Woodside (402)","Diabetes Mellitus (E10-E14)",9,".","."
"2014-2016","Sunnyside, Woodside (402)","Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",9,".","."
"2014-2016","Sunnyside, Woodside (402)","Viral Hepatitis (B15-B19)",7,".","."
"2014-2016","Sunnyside, Woodside (402)","Certain Conditions originating in the Perinatal Period (P00-P96)",7,".","."
"2014-2016","Sunnyside, Woodside (402)","All Other Causes",78,22.4,21.3
"2014-2016","Jackson Heights (403)","Malignant Neoplasms (Cancer: C00-C97)",171,35.7,33.4
"2014-2016","Jackson Heights (403)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",90,18.8,17.5
"2014-2016","Jackson Heights (403)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",42,8.8,8.5
"2014-2016","Jackson Heights (403)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",26,5.4,5.2
"2014-2016","Jackson Heights (403)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",23,4.8,4.7
"2014-2016","Jackson Heights (403)","Cerebrovascular Disease (Stroke: I60-I69)",20,4.2,3.9
"2014-2016","Jackson Heights (403)","Chronic Liver Disease and Cirrhosis (K70, K73)",20,4.2,3.9
"2014-2016","Jackson Heights (403)","Certain Conditions originating in the Perinatal Period (P00-P96)",17,3.5,4.0
"2014-2016","Jackson Heights (403)","Influenza (Flu) and Pneumonia (J09-J18)",12,2.5,2.4
"2014-2016","Jackson Heights (403)","Essential Hypertension and Renal Diseases (I10, I12)",11,".","."
"2014-2016","Jackson Heights (403)","Diabetes Mellitus (E10-E14)",11,".","."
"2014-2016","Jackson Heights (403)","All Other Causes",113,23.6,22.9
"2014-2016","Elmhurst, Corona (404)","Malignant Neoplasms (Cancer: C00-C97)",192,38.3,35.5
"2014-2016","Elmhurst, Corona (404)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",84,16.7,15.6
"2014-2016","Elmhurst, Corona (404)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",23,4.6,4.5
"2014-2016","Elmhurst, Corona (404)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",21,4.2,3.9
"2014-2016","Elmhurst, Corona (404)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",19,3.8,3.6
"2014-2016","Elmhurst, Corona (404)","Cerebrovascular Disease (Stroke: I60-I69)",18,3.6,3.4
"2014-2016","Elmhurst, Corona (404)","Diabetes Mellitus (E10-E14)",16,3.2,3.0
"2014-2016","Elmhurst, Corona (404)","Mental and Behavioral Disorders due to Use of Alcohol (F10)",15,3.0,2.8
"2014-2016","Elmhurst, Corona (404)","Certain Conditions originating in the Perinatal Period (P00-P96)",15,3.0,3.5
"2014-2016","Elmhurst, Corona (404)","Assault (Homicide: Y87.1, X85-Y09)",11,".","."
"2014-2016","Elmhurst, Corona (404)","Chronic Liver Disease and Cirrhosis (K70, K73)",11,".","."
"2014-2016","Elmhurst, Corona (404)","All Other Causes",109,21.7,20.9
"2014-2016","Ridgewood, Glendale (405)","Malignant Neoplasms (Cancer: C00-C97)",237,53.6,47.2
"2014-2016","Ridgewood, Glendale (405)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",159,35.9,31.5
"2014-2016","Ridgewood, Glendale (405)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",52,11.8,11.0
"2014-2016","Ridgewood, Glendale (405)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",31,7.0,6.5
"2014-2016","Ridgewood, Glendale (405)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",29,6.6,6.2
"2014-2016","Ridgewood, Glendale (405)","Chronic Liver Disease and Cirrhosis (K70, K73)",18,4.1,3.5
"2014-2016","Ridgewood, Glendale (405)","Chronic Lower Respiratory Diseases (J40-J47)",17,3.8,3.4
"2014-2016","Ridgewood, Glendale (405)","Diabetes Mellitus (E10-E14)",17,3.8,3.4
"2014-2016","Ridgewood, Glendale (405)","Influenza (Flu) and Pneumonia (J09-J18)",13,2.9,2.7
"2014-2016","Ridgewood, Glendale (405)","Cerebrovascular Disease (Stroke: I60-I69)",10,".","."
"2014-2016","Ridgewood, Glendale (405)","All Other Causes",120,27.1,25.2
"2014-2016","Rego Park, Forest Hills (406)","Malignant Neoplasms (Cancer: C00-C97)",126,44.6,33.4
"2014-2016","Rego Park, Forest Hills (406)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",77,27.3,20.4
"2014-2016","Rego Park, Forest Hills (406)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",21,7.4,5.9
"2014-2016","Rego Park, Forest Hills (406)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",21,7.4,6.7
"2014-2016","Rego Park, Forest Hills (406)","Influenza (Flu) and Pneumonia (J09-J18)",14,5.0,4.0
"2014-2016","Rego Park, Forest Hills (406)","Diabetes Mellitus (E10-E14)",12,4.3,3.1
"2014-2016","Rego Park, Forest Hills (406)","Chronic Liver Disease and Cirrhosis (K70, K73)",11,".","."
"2014-2016","Rego Park, Forest Hills (406)","Viral Hepatitis (B15-B19)",7,".","."
"2014-2016","Rego Park, Forest Hills (406)","Chronic Lower Respiratory Diseases (J40-J47)",7,".","."
"2014-2016","Rego Park, Forest Hills (406)","Cerebrovascular Disease (Stroke: I60-I69)",7,".","."
"2014-2016","Rego Park, Forest Hills (406)","Certain Conditions originating in the Perinatal Period (P00-P96)",7,".","."
"2014-2016","Rego Park, Forest Hills (406)","All Other Causes",64,22.7,19.5
"2014-2016","Flushing (407)","Malignant Neoplasms (Cancer: C00-C97)",325,50.3,37.3
"2014-2016","Flushing (407)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",184,28.5,20.9
"2014-2016","Flushing (407)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",55,8.5,7.9
"2014-2016","Flushing (407)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",44,6.8,5.8
"2014-2016","Flushing (407)","Cerebrovascular Disease (Stroke: I60-I69)",36,5.6,4.1
"2014-2016","Flushing (407)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",30,4.6,3.7
"2014-2016","Flushing (407)","Influenza (Flu) and Pneumonia (J09-J18)",18,2.8,2.1
"2014-2016","Flushing (407)","Chronic Liver Disease and Cirrhosis (K70, K73)",18,2.8,2.1
"2014-2016","Flushing (407)","Diabetes Mellitus (E10-E14)",17,2.6,1.9
"2014-2016","Flushing (407)","Chronic Lower Respiratory Diseases (J40-J47)",16,2.5,1.8
"2014-2016","Flushing (407)","Certain Conditions originating in the Perinatal Period (P00-P96)",16,2.5,3.4
"2014-2016","Flushing (407)","All Other Causes",155,24.0,20.4
"2014-2016","Fresh Meadows, Briarwood (408)","Malignant Neoplasms (Cancer: C00-C97)",150,37.6,31.4
"2014-2016","Fresh Meadows, Briarwood (408)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",103,25.8,21.6
"2014-2016","Fresh Meadows, Briarwood (408)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",29,7.3,6.7
"2014-2016","Fresh Meadows, Briarwood (408)","Diabetes Mellitus (E10-E14)",20,5.0,4.3
"2014-2016","Fresh Meadows, Briarwood (408)","Cerebrovascular Disease (Stroke: I60-I69)",19,4.8,4.0
"2014-2016","Fresh Meadows, Briarwood (408)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",18,4.5,4.2
"2014-2016","Fresh Meadows, Briarwood (408)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",17,4.3,4.0
"2014-2016","Fresh Meadows, Briarwood (408)","Chronic Liver Disease and Cirrhosis (K70, K73)",13,3.3,2.7
"2014-2016","Fresh Meadows, Briarwood (408)","Mental and Behavioral Disorders due to Use of Alcohol (F10)",10,".","."
"2014-2016","Fresh Meadows, Briarwood (408)","Influenza (Flu) and Pneumonia (J09-J18)",10,".","."
"2014-2016","Fresh Meadows, Briarwood (408)","Certain Conditions originating in the Perinatal Period (P00-P96)",10,".","."
"2014-2016","Fresh Meadows, Briarwood (408)","All Other Causes",117,29.3,26.0
"2014-2016","Woodhaven (409)","Malignant Neoplasms (Cancer: C00-C97)",145,36.3,32.1
"2014-2016","Woodhaven (409)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",131,32.8,28.7
"2014-2016","Woodhaven (409)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",39,9.8,9.1
"2014-2016","Woodhaven (409)","Diabetes Mellitus (E10-E14)",28,7.0,6.2
"2014-2016","Woodhaven (409)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",21,5.3,4.9
"2014-2016","Woodhaven (409)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",19,4.8,4.4
"2014-2016","Woodhaven (409)","Cerebrovascular Disease (Stroke: I60-I69)",18,4.5,4.0
"2014-2016","Woodhaven (409)","Chronic Liver Disease and Cirrhosis (K70, K73)",17,4.3,3.8
"2014-2016","Woodhaven (409)","Influenza (Flu) and Pneumonia (J09-J18)",16,4.0,3.5
"2014-2016","Woodhaven (409)","Certain Conditions originating in the Perinatal Period (P00-P96)",16,4.0,4.4
"2014-2016","Woodhaven (409)","All Other Causes",144,36.1,33.7
"2014-2016","Howard Beach (410)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",147,44.8,36.7
"2014-2016","Howard Beach (410)","Malignant Neoplasms (Cancer: C00-C97)",140,42.7,34.9
"2014-2016","Howard Beach (410)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",29,8.8,8.6
"2014-2016","Howard Beach (410)","Diabetes Mellitus (E10-E14)",27,8.2,6.6
"2014-2016","Howard Beach (410)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",27,8.2,7.7
"2014-2016","Howard Beach (410)","Chronic Liver Disease and Cirrhosis (K70, K73)",23,7.0,6.2
"2014-2016","Howard Beach (410)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",22,6.7,6.4
"2014-2016","Howard Beach (410)","Certain Conditions originating in the Perinatal Period (P00-P96)",16,4.9,5.5
"2014-2016","Howard Beach (410)","Cerebrovascular Disease (Stroke: I60-I69)",14,4.3,3.6
"2014-2016","Howard Beach (410)","Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",12,3.7,3.6
"2014-2016","Howard Beach (410)","All Other Causes",130,39.7,34.5
"2014-2016","Bayside (411)","Malignant Neoplasms (Cancer: C00-C97)",110,37.2,27.3
"2014-2016","Bayside (411)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",57,19.3,13.6
"2014-2016","Bayside (411)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",30,10.1,10.0
"2014-2016","Bayside (411)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",19,6.4,6.0
"2014-2016","Bayside (411)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",13,4.4,4.0
"2014-2016","Bayside (411)","Diabetes Mellitus (E10-E14)",7,".","."
"2014-2016","Bayside (411)","Cerebrovascular Disease (Stroke: I60-I69)",5,".","."
"2014-2016","Bayside (411)","Essential Hypertension and Renal Diseases (I10, I12)",5,".","."
"2014-2016","Bayside (411)","Chronic Lower Respiratory Diseases (J40-J47)",".",".","."
"2014-2016","Bayside (411)","Mental and Behavioral Disorders due to Use of Alcohol (F10)",".",".","."
"2014-2016","Bayside (411)","Influenza (Flu) and Pneumonia (J09-J18)",".",".","."
"2014-2016","Bayside (411)","Chronic Liver Disease and Cirrhosis (K70, K73)",".",".","."
"2014-2016","Bayside (411)","All Other Causes",49,16.6,13.2
"2014-2016","Jamaica, St. Albans (412)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",305,50.3,42.6
"2014-2016","Jamaica, St. Albans (412)","Malignant Neoplasms (Cancer: C00-C97)",299,49.4,41.9
"2014-2016","Jamaica, St. Albans (412)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",65,10.7,9.8
"2014-2016","Jamaica, St. Albans (412)","Diabetes Mellitus (E10-E14)",62,10.2,8.9
"2014-2016","Jamaica, St. Albans (412)","Cerebrovascular Disease (Stroke: I60-I69)",43,7.1,6.0
"2014-2016","Jamaica, St. Albans (412)","Assault (Homicide: Y87.1, X85-Y09)",40,6.6,6.9
"2014-2016","Jamaica, St. Albans (412)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",37,6.1,5.9
"2014-2016","Jamaica, St. Albans (412)","Chronic Liver Disease and Cirrhosis (K70, K73)",34,5.6,4.9
"2014-2016","Jamaica, St. Albans (412)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",32,5.3,5.1
"2014-2016","Jamaica, St. Albans (412)","Certain Conditions originating in the Perinatal Period (P00-P96)",32,5.3,5.7
"2014-2016","Jamaica, St. Albans (412)","All Other Causes",309,51.0,46.6
"2014-2016","Queens Village (413)","Malignant Neoplasms (Cancer: C00-C97)",185,37.7,29.5
"2014-2016","Queens Village (413)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",150,30.6,23.8
"2014-2016","Queens Village (413)","Diabetes Mellitus (E10-E14)",31,6.3,4.9
"2014-2016","Queens Village (413)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",27,5.5,5.4
"2014-2016","Queens Village (413)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",27,5.5,5.0
"2014-2016","Queens Village (413)","Cerebrovascular Disease (Stroke: I60-I69)",26,5.3,4.0
"2014-2016","Queens Village (413)","Assault (Homicide: Y87.1, X85-Y09)",23,4.7,5.3
"2014-2016","Queens Village (413)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",18,3.7,3.6
"2014-2016","Queens Village (413)","Certain Conditions originating in the Perinatal Period (P00-P96)",18,3.7,4.3
"2014-2016","Queens Village (413)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",15,3.1,2.5
"2014-2016","Queens Village (413)","All Other Causes",146,29.8,25.3
"2014-2016","The Rockaways (414)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",244,82.1,72.3
"2014-2016","The Rockaways (414)","Malignant Neoplasms (Cancer: C00-C97)",173,58.2,52.0
"2014-2016","The Rockaways (414)","Diabetes Mellitus (E10-E14)",52,17.5,16.2
"2014-2016","The Rockaways (414)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",48,16.2,15.3
"2014-2016","The Rockaways (414)","Chronic Lower Respiratory Diseases (J40-J47)",31,10.4,9.4
"2014-2016","The Rockaways (414)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",30,10.1,9.8
"2014-2016","The Rockaways (414)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",28,9.4,8.7
"2014-2016","The Rockaways (414)","Chronic Liver Disease and Cirrhosis (K70, K73)",20,6.7,6.1
"2014-2016","The Rockaways (414)","Assault (Homicide: Y87.1, X85-Y09)",18,6.1,6.6
"2014-2016","The Rockaways (414)","Cerebrovascular Disease (Stroke: I60-I69)",15,5.0,4.8
"2014-2016","The Rockaways (414)","All Other Causes",215,72.4,67.7
"2014-2016","Port Richmond (501)","Malignant Neoplasms (Cancer: C00-C97)",302,63.6,55.5
"2014-2016","Port Richmond (501)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",265,55.8,48.7
"2014-2016","Port Richmond (501)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",94,19.8,19.1
"2014-2016","Port Richmond (501)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",53,11.2,10.5
"2014-2016","Port Richmond (501)","Diabetes Mellitus (E10-E14)",42,8.9,7.8
"2014-2016","Port Richmond (501)","Chronic Lower Respiratory Diseases (J40-J47)",39,8.2,7.1
"2014-2016","Port Richmond (501)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",36,7.6,6.8
"2014-2016","Port Richmond (501)","Chronic Liver Disease and Cirrhosis (K70, K73)",33,7.0,6.2
"2014-2016","Port Richmond (501)","Influenza (Flu) and Pneumonia (J09-J18)",31,6.5,5.8
"2014-2016","Port Richmond (501)","Cerebrovascular Disease (Stroke: I60-I69)",31,6.5,5.9
"2014-2016","Port Richmond (501)","All Other Causes",301,63.4,59.9
"2014-2016","Willowbrook, South Beach (502)","Malignant Neoplasms (Cancer: C00-C97)",219,66.1,50.2
"2014-2016","Willowbrook, South Beach (502)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",134,40.5,30.0
"2014-2016","Willowbrook, South Beach (502)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",63,19.0,18.4
"2014-2016","Willowbrook, South Beach (502)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",27,8.2,7.2
"2014-2016","Willowbrook, South Beach (502)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",21,6.3,5.9
"2014-2016","Willowbrook, South Beach (502)","Chronic Lower Respiratory Diseases (J40-J47)",20,6.0,4.7
"2014-2016","Willowbrook, South Beach (502)","Influenza (Flu) and Pneumonia (J09-J18)",16,4.8,3.6
"2014-2016","Willowbrook, South Beach (502)","Diabetes Mellitus (E10-E14)",16,4.8,3.6
"2014-2016","Willowbrook, South Beach (502)","Viral Hepatitis (B15-B19)",11,".","."
"2014-2016","Willowbrook, South Beach (502)","Cerebrovascular Disease (Stroke: I60-I69)",10,".","."
"2014-2016","Willowbrook, South Beach (502)","All Other Causes",136,41.1,36.4
"2014-2016","Tottenville (503)","Malignant Neoplasms (Cancer: C00-C97)",219,54.4,41.3
"2014-2016","Tottenville (503)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",159,39.5,30.4
"2014-2016","Tottenville (503)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",102,25.3,25.6
"2014-2016","Tottenville (503)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",32,8.0,7.4
"2014-2016","Tottenville (503)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",31,7.7,6.8
"2014-2016","Tottenville (503)","Diabetes Mellitus (E10-E14)",22,5.5,4.4
"2014-2016","Tottenville (503)","Chronic Lower Respiratory Diseases (J40-J47)",17,4.2,3.1
"2014-2016","Tottenville (503)","Influenza (Flu) and Pneumonia (J09-J18)",16,4.0,3.3
"2014-2016","Tottenville (503)","Cerebrovascular Disease (Stroke: I60-I69)",12,3.0,2.4
"2014-2016","Tottenville (503)","Chronic Liver Disease and Cirrhosis (K70, K73)",9,".","."
"2014-2016","Tottenville (503)","All Other Causes",129,32.0,27.6
"2014-2016","INVALID","Malignant Neoplasms (Cancer: C00-C97)",1835,".","."
"2014-2016","INVALID","Diseases of Heart (I00-I09, I11, I13, I20-I51)",682,".","."
"2014-2016","INVALID","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",407,".","."
"2014-2016","INVALID","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",227,".","."
"2014-2016","INVALID","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",169,".","."
"2014-2016","INVALID","Chronic Liver Disease and Cirrhosis (K70, K73)",144,".","."
"2014-2016","INVALID","Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",123,".","."
"2014-2016","INVALID","Certain Conditions originating in the Perinatal Period (P00-P96)",115,".","."
"2014-2016","INVALID","Cerebrovascular Disease (Stroke: I60-I69)",104,".","."
"2014-2016","INVALID","Influenza (Flu) and Pneumonia (J09-J18)",93,".","."
"2014-2016","INVALID","All Other Causes",1193,".","."

Data downloaded: 03MAR19:14:42

Rates based on small numbers (RSE > 30) as well as aggregate counts less than 5 have been suppressed in downloaded data

Source: Bureau of Vital Statistics, New York City Department of Health and Mental Hygiene

